,list_countries,2022_tons,2023_tons,2024_tons,2022_mln_$,2023_mln_$,2024_mln_$,product,status
114,Italy,6.0,19.0,49.0,0.236,0.223,0.541,bank,unfriendly
115,"Taipei, Chinese",56.0,18.0,25.0,3.161,1.2,1.022,bank,unfriendly
116,Belarus,52.0,24.0,17.0,0.319,0.242,0.21,bank,friendly
117,Philippines,52.0,8.0,13.0,2.411,0.591,0.922,bank,friendly
118,Poland,1.0,7.0,7.0,0.003,0.601,0.647,bank,unfriendly
119,Netherlands,5.0,5.0,4.0,0.456,0.347,0.136,bank,unfriendly
120,"Hong Kong, China",7.0,3.0,3.0,0.081,0.036,0.035,bank,friendly
121,Malaysia,,1.0,2.0,0.0,0.013,0.026,bank,friendly
122,Mexico,8.0,4.0,2.0,1.461,0.729,0.43,bank,friendly
123,Czech Republic,0.0,1.0,1.0,0.008,0.018,0.014,bank,unfriendly
124,Denmark,0.0,0.0,1.0,0.009,0.005,0.052,bank,unfriendly
125,Sweden,1.0,1.0,1.0,0.061,0.051,0.047,bank,unfriendly
126,United States of America,6.0,2.0,1.0,0.626,0.104,0.023,bank,unfriendly
127,France,,1.0,0.0,0.0,0.124,0.0,bank,unfriendly
128,Indonesia,0.0,0.0,0.0,0.007,0.016,0.017,bank,friendly
129,Spain,1.0,0.0,0.0,0.049,0.007,0.004,bank,unfriendly
130,United Kingdom,0.0,0.0,0.0,0.12,0.066,0.078,bank,unfriendly
131,"Korea, Democratic People's Republic of",0.0,,,0.005,0.0,0.0,bank,friendly
132,European Union Nes,,,,0.0,0.0,0.0,bank,friendly
133,Ukraine,0.0,0.0,,0.002,0.006,0.0,bank,unfriendly
134,Austria,,,,0.0,0.0,0.0,bank,unfriendly
135,Belgium,2.0,,,0.069,0.0,0.0,bank,unfriendly
136,Bulgaria,,,,0.0,0.0,0.0,bank,unfriendly
137,Canada,0.0,0.0,,0.054,0.017,0.0,bank,unfriendly
138,Finland,,,,0.0,0.0,0.0,bank,unfriendly
139,Georgia,,,,0.0,0.0,0.0,bank,friendly
140,Kazakhstan,1.0,0.0,,0.003,0.001,0.0,bank,friendly
141,Lithuania,,0.0,,0.0,0.002,0.0,bank,unfriendly
142,"Moldova, Republic of",,0.0,,0.0,0.0,0.0,bank,friendly
143,Portugal,0.0,0.0,,0.005,0.002,0.0,bank,unfriendly
144,Singapore,3.0,,,0.023,0.0,0.0,bank,unfriendly
145,Slovakia,,,,0.0,0.0,0.0,bank,unfriendly
146,Slovenia,,,,0.0,0.0,0.0,bank,unfriendly
147,Switzerland,,,,0.0,0.0,0.0,bank,unfriendly
148,Thailand,0.0,,,0.002,0.0,0.0,bank,friendly
149,Turkiye,,,,0.0,0.0,0.0,bank,friendly
